站点ID,站点名,所属线路,运营状态
0111,莘庄,1号线,开启
0112,外环路,1号线,开启
0113,莲花路,1号线,开启
0114,锦江乐园,1号线,开启
0115,上海南站,1号线,开启
0116,漕宝路,1号线,开启
0117,上海体育馆,1号线,开启
0118,徐家汇,1号线,开启
0119,衡山路,1号线,开启
0120,常熟路,1号线,开启
0121,陕西南路,1号线,开启
0122,一大会址·黄陂南路,1号线,开启
0123,人民广场,1号线,开启
0124,新闸路,1号线,开启
0125,汉中路,1号线,开启
0126,上海火车站,1号线,开启
0127,中山北路,1号线,开启
0128,延长路,1号线,开启
0129,上海马戏城,1号线,开启
0130,汶水路,1号线,开启
0131,彭浦新村,1号线,开启
0132,共康路,1号线,开启
0133,通河新村,1号线,开启
0134,呼兰路,1号线,开启
0135,共富新村,1号线,开启
0136,宝安公路,1号线,开启
0137,友谊西路,1号线,开启
0138,富锦路,1号线,开启
0234,国家会展中心,2号线,开启
0235,虹桥火车站,2号线,开启
0236,虹桥2号航站楼,2号线,开启
0237,淞虹路,2号线,开启
0238,北新泾,2号线,开启
0239,威宁路,2号线,开启
0240,娄山关路,2号线,开启
0241,中山公园,2号线,开启
0242,江苏路,2号线,开启
0243,静安寺,2号线,开启
0244,南京西路,2号线,开启
0245,人民广场,2号线,开启
0246,南京东路,2号线,开启
0247,陆家嘴,2号线,开启
0248,浦东南路,2号线,开启
0249,世纪大道,2号线,开启
0250,上海科技馆,2号线,开启
0251,世纪公园,2号线,开启
0252,龙阳路,2号线,开启
0253,张江高科,2号线,开启
0254,金科路,2号线,开启
0255,广兰路,2号线,开启
0256,唐镇,2号线,开启
0257,创新中路,2号线,开启
0258,华夏东路,2号线,开启
0259,川沙,2号线,开启
0260,凌空路,2号线,开启
0261,远东大道,2号线,开启
0262,海天三路,2号线,开启
0263,浦东1号2号航站楼,2号线,开启
0311,上海南站,3号线,开启
0312,石龙路,3号线,开启
0313,龙漕路,3号线,开启
0314,漕溪路,3号线,开启
0315,宜山路,3号线,开启
0316,虹桥路,3号线,开启
0317,延安西路,3号线,开启
0318,中山公园,3号线,开启
0319,金沙江路,3号线,开启
0320,曹杨路,3号线,开启
0321,镇坪路,3号线,开启
0322,中潭路,3号线,开启
0323,上海火车站,3号线,开启
0324,宝山路,3号线,开启
0325,东宝兴路,3号线,开启
0326,虹口足球场,3号线,开启
0327,赤峰路,3号线,开启
0328,大柏树,3号线,开启
0329,江湾镇,3号线,开启
0330,殷高西路,3号线,开启
0331,长江南路,3号线,开启
0332,淞发路,3号线,开启
0333,张华浜,3号线,开启
0334,淞滨路,3号线,开启
0335,水产路,3号线,开启
0336,宝杨路,3号线,开启
0337,友谊路,3号线,开启
0338,铁力路,3号线,开启
0339,江杨北路,3号线,开启
0402,宜山路,4号线,开启
0403,虹桥路,4号线,开启
0404,延安西路,4号线,开启
0405,中山公园,4号线,开启
0406,金沙江路,4号线,开启
0407,曹杨路,4号线,开启
0408,镇坪路,4号线,开启
0409,中潭路,4号线,开启
0410,上海火车站,4号线,开启
0411,宝山路,4号线,开启
0412,海伦路,4号线,开启
0413,临平路,4号线,开启
0414,大连路,4号线,开启
0415,杨树浦路,4号线,开启
0416,浦东大道,4号线,开启
0417,世纪大道,4号线,开启
0418,向城路,4号线,开启
0419,蓝村路,4号线,开启
0420,塘桥,4号线,开启
0421,南浦大桥,4号线,开启
0422,西藏南路,4号线,开启
0423,鲁班路,4号线,开启
0424,大木桥路,4号线,开启
0425,东安路,4号线,开启
0426,上海体育场,4号线,开启
0401,上海体育馆,4号线,开启
0501,莘庄,5号线,开启
0502,春申路,5号线,开启
0503,银都路,5号线,开启
0505,颛桥,5号线,开启
0507,北桥,5号线,开启
0508,剑川路,5号线,开启
0509,东川路,5号线,开启
0510,金平路,5号线,开启
0511,华宁路,5号线,开启
0512,文井路,5号线,开启
0513,闵行开发区,5号线,开启
0531,江川路,5号线,开启
0532,西渡,5号线,开启
0533,萧塘,5号线,开启
0534,奉浦大道,5号线,开启
0535,环城东路,5号线,开启
0536,望园路,5号线,开启
0537,金海湖,5号线,开启
0538,奉贤新城,5号线,开启
0621,东方体育中心,6号线,开启
0622,灵岩南路,6号线,开启
0623,上南路,6号线,开启
0624,华夏西路,6号线,开启
0625,高青路,6号线,开启
0626,东明路,6号线,开启
0627,高科西路,6号线,开启
0628,临沂新村 ,6号线,开启
0629,上海儿童医学中心,6号线,开启
0630,蓝村路,6号线,开启
0631,浦电路 ,6号线,开启
0632,世纪大道,6号线,开启
0633,源深体育中心,6号线,开启
0634,民生路,6号线,开启
0635,北洋泾路,6号线,开启
0636,德平路,6号线,开启
0637,云山路,6号线,开启
0638,金桥路,6号线,开启
0639,博兴路,6号线,开启
0640,五莲路,6号线,开启
0641,巨峰路,6号线,开启
0642,东靖路,6号线,开启
0643,五洲大道,6号线,开启
0644,洲海路,6号线,开启
0645,外高桥保税区南,6号线,开启
0646,航津路,6号线,开启
0647,外高桥保税区北,6号线,开启
0648,港城路,6号线,开启
0721,美兰湖,7号线,开启
0722,罗南新村,7号线,开启
0723,潘广路,7号线,开启
0724,刘行,7号线,开启
0725,顾村公园,7号线,开启
0726,祁华路,7号线,开启
0727,上海大学,7号线,开启
0728,南陈路,7号线,开启
0729,上大路,7号线,开启
0730,场中路,7号线,开启
0731,大场镇,7号线,开启
0732,行知路,7号线,开启
0733,大华三路,7号线,开启
0734,新村路,7号线,开启
0735,岚皋路,7号线,开启
0736,镇坪路,7号线,开启
0737,长寿路,7号线,开启
0738,昌平路,7号线,开启
0739,静安寺,7号线,开启
0740,常熟路,7号线,开启
0741,肇嘉浜路,7号线,开启
0742,东安路,7号线,开启
0743,龙华中路,7号线,开启
0744,后滩,7号线,开启
0745,长清路,7号线,开启
0746,耀华路,7号线,开启
0747,云台路,7号线,开启
0748,高科西路,7号线,开启
0749,杨高南路,7号线,开启
0750,锦绣路,7号线,开启
0751,芳华路,7号线,开启
0752,龙阳路,7号线,开启
0753,花木路,7号线,开启
0820,沈杜公路,8号线,开启
0821,联航路,8号线,开启
0822,江月路,8号线,开启
0823,浦江镇,8号线,开启
0824,芦恒路,8号线,开启
0825,凌兆新村,8号线,开启
0826,东方体育中心,8号线,开启
0827,杨思,8号线,开启
0828,成山路,8号线,开启
0829,耀华路,8号线,开启
0830,中华艺术宫,8号线,开启
0831,西藏南路,8号线,开启
0832,陆家浜路,8号线,开启
0833,老西门,8号线,开启
0834,大世界,8号线,开启
0835,人民广场,8号线,开启
0836,曲阜路,8号线,开启
0837,中兴路,8号线,开启
0838,西藏北路,8号线,开启
0839,虹口足球场,8号线,开启
0840,曲阳路,8号线,开启
0841,四平路,8号线,开启
0842,鞍山新村,8号线,开启
0843,江浦路,8号线,开启
0844,黄兴路,8号线,开启
0845,延吉中路,8号线,开启
0846,黄兴公园,8号线,开启
0847,翔殷路,8号线,开启
0848,嫩江路,8号线,开启
0849,市光路,8号线,开启
0918,上海松江站,9号线,开启
0919,醉白池,9号线,开启
0920,松江体育中心,9号线,开启
0921,松江新城,9号线,开启
0922,松江大学城,9号线,开启
0923,洞泾,9号线,开启
0924,佘山,9号线,开启
0925,泗泾,9号线,开启
0926,九亭,9号线,开启
0927,中春路,9号线,开启
0928,七宝,9号线,开启
0929,星中路,9号线,开启
0930,合川路,9号线,开启
0931,漕河泾开发区,9号线,开启
0932,桂林路,9号线,开启
0933,宜山路,9号线,开启
0934,徐家汇,9号线,开启
0935,肇嘉浜路,9号线,开启
0936,嘉善路,9号线,开启
0937,打浦桥,9号线,开启
0938,马当路,9号线,开启
0939,陆家浜路,9号线,开启
0940,小南门,9号线,开启
0941,商城路,9号线,开启
0942,世纪大道,9号线,开启
0943,杨高中路,9号线,开启
0944,芳甸路,9号线,开启
0945,蓝天路,9号线,开启
0946,台儿庄路,9号线,开启
0947,金桥,9号线,开启
0948,金吉路,9号线,开启
0949,金海路,9号线,开启
0950,顾唐路,9号线,开启
0951,民雷路,9号线,开启
0952,曹路,9号线,开启
1018,航中路,10号线,开启
1019,紫藤路,10号线,开启
1020,龙柏新村,10号线,开启
